,(gamma)Glu-Leu/Ile,"1,3-Dimethyluric acid","1,7-Dimethyluric acid",2-acetamido-4-methylphenyl acetate,2-methoxy-N-[3-oxo-3-(pyrrolidin-1-yl)propyl]acetamide (and isomers),2-Methylhippuric acid,2-Octenoylcarnitine,"2,6 Dimethylheptanoyl carnitine",3-Methyl-2-oxovaleric acid,3-Methylcrotonylglycine,4-Acetamidobutanoic acid isomer 3,4-Methylhippuric acid/3-Methylhippuric acid,5-Hydroxyindoleacetic acid,"5,6-Dihydrouracil",Acetaminophen,Acetylphenylalanine,Adipoylcarnitine,alpha-N-Phenylacetyl-glutamine,Aminosalicyluric acid,Aniline isomer,Butyrylcarnitine,Caffeine,Creatine,Decadienylcarnitine isomer 2,Decanoylcarnitine,Decanoylcarnitine isomer,Decenoylcarnitine isomer 1,Decenoylcarnitine isomer 2,Dihydroneopterin isomer,Dihydroxyphenylethyleneglycol isomer,Dimethylguanosine,Dimethylnonenoylcarnitine/Undecenoylcarnitine,Glu-Val,Glutamine,Heptenoylcarnitine isomer,Hexanoylcarnitine,Hexanoylcarnitine isomer,Hippuric acid,Hydroxyanthranilic acid isomer,Hydroxyoctanoylcarnitine,Hypoxanthine,Indoleacetic acid,Indoleacetic acid isomer,Indoleacetyl glutamine,Isovalerylalanine isomer,Ketoleucine,Kynurenic acid,Kynurenine isomer,Lysine,meta-Hydroxyhippuric acid,Methylglutarylcarnitine isomer 1,Methylglutarylcarnitine isomer 2,Methylhippuric acid isomer,Methylinosine,Mevalonic acid isomer 1,Mevalonic acid isomer 2,Mevalonic acid isomer 3,N-Acetyltryptophan isomer 3,N1-Acetylspermidine,N4-Acetylcytidine,Niacinamide,Nicotinic acid isomer,Nonenoylcarnitine isomer 1,Normetanephrine isomer,Octanoylcarnitine,Octanoylcarnitine isomer,Oxoproline isomer,p-Hydroxyhippuric acid,Pantothenic acid,Paraxanthine/Theophylline,Phenylalanine,Porphobilinogen,Proline,Proline betaine,Propionylcarnitine isomer 1,Propionylcarnitine isomer 2,Pyridoxamine isomer 1,Pyridoxic acid isomer 1,Pyridoxic acid isomer 2,Pyridylacetylglycine,Pyroglutamic acid,Tetrahydrohippuric acid,Theobromine,Threo-3-Phenylserine,Tiglylcarnitine/2-Ethylacrylylcarnitine,Tiglylglycine,Trimethylamine N-oxide,Tryptamine,Tryptophan,Tyr-Ala/Ala-Tyr/Phe-Ser/Ser-Phe,Tyrosine,Urocanic acid,Valerylcarnitine,Valerylglycine isomer 1,Valerylglycine isomer 2,Xanthurenic acid
HU_011,5.70072930474663,4.25147698448822,4.47312711007058,5.17558881020622,5.37480678906176,4.82678661110548,5.72191367268035,5.12634421909073,5.26946121478691,5.26872956770216,5.16335636909614,5.83746191357613,5.57364791094841,5.33378570140906,3.50626745485749,4.94568046079673,5.40405923047062,5.43970425330092,5.57692933211227,5.11156375274648,5.46875210088774,4.16371975172069,4.99151557391882,5.59243169564197,5.10900556438137,5.42960893950886,5.63571140199273,5.74759451980547,5.25255960000814,5.21727074132031,5.49805448301622,5.3579411192406,5.62826310923593,5.47264288831586,5.4343211115717,5.57170498327977,5.43472000895887,5.30219205203632,5.54255804442936,5.54167886266071,5.65586322643905,5.03860177419387,5.02273255756507,5.38968363460408,5.44675512282866,5.34202294257792,5.6590277329185,5.44262756051771,5.55640822788191,4.84041193170061,5.35143418633779,4.76831481180832,4.50339314874809,5.5499311831648,5.26041172699138,5.20808879541479,4.69779290888918,4.79652358752634,4.45488861948599,5.44544149498113,5.4315436720723,4.56168805909579,5.35097946702635,4.83507995227797,5.49153654064922,5.8198344658925,5.32912951917653,5.42402647446259,4.88948378428137,4.52264334378641,5.35262453431589,5.63672877443339,5.40074129805845,4.75464505618385,5.55597890195546,5.34124222171127,5.54257826834271,4.98282827044208,4.9915099128261,5.69004704880418,5.32747637190108,4.83584715424867,4.73571529200254,4.88398177321115,5.65200640101655,5.27327252455189,5.23905163411289,6.0496379291038,5.40014167889877,5.14704087198731,5.38170854912527,5.48797149690065,5.55795790687432,5.32047698091122,5.4538648040996,5.59435510721959
HU_014,5.60194954943185,5.23768479403235,5.22669964185021,2.98764801055629,5.59423345373475,4.51956765927751,5.70553225005772,5.36689583994736,5.12921447110899,5.3726162523542,5.31813109224606,5.01920727547374,5.69787460336023,5.90087345172937,2.90062994583267,5.76366901582643,4.23026034803738,5.52744116537378,5.26582977886947,5.2761072145828,5.41803324862802,4.84336018773518,6.48386947258483,5.47457022091636,5.35533477986187,5.12269436351442,4.99872216713903,5.46521676957104,4.3898347060126,5.5172522098525,5.54639619975825,4.142520955507,5.69297041004443,5.84323698115456,5.16790254659678,5.68842504480455,5.59216420040839,5.43771504644926,5.45282511422337,5.22097971353652,5.79747490746411,5.89475907827696,3.65491181795071,5.14894907730876,5.35962501430689,5.25636223172633,5.30476337707261,5.31248754271676,5.62762558006504,5.28525520127991,5.38399778766122,5.41795216798125,4.4960667701666,5.60297169979187,5.11563012736499,4.96869251256639,5.03472247386942,5.03245433245099,5.84339053339848,5.49189665181386,5.62321927292602,4.57588424714162,5.35398265613673,5.33976175899702,5.03666461812804,5.51614268866367,5.20320875374688,5.8453292633002,5.67521361137304,4.83268332133422,5.42664309824304,5.50157568632079,5.4619079803192,5.46631955380723,4.54320416802916,5.34736406536296,5.02327429789027,3.87316431326337,3.88136153174584,5.47303016561952,5.53002454026913,5.34050276078962,4.96550446332653,5.40079196515527,5.48207405737832,5.38287546077317,5.66934626017994,4.9750120939563,5.48063045401643,5.47942539550448,5.74355075276014,5.73699335530108,5.22402828099013,5.11989945063592,5.36392074446153,5.17364587379342
HU_015,5.36437907418296,5.02520334036227,5.07860778945238,5.18953787418793,5.26619462000445,4.94388130825119,5.62565669759664,5.96137715860342,4.48083871638858,5.22224399192955,5.19789976730972,5.97512490699627,5.26818301073447,5.32706098333401,4.11357265249898,5.18538828184365,4.87783108372338,5.16619826564871,5.09629532182566,5.92898436790949,5.3364526542157,5.10911392985925,4.38887812381837,5.48615429031191,5.25591445878728,5.86606142937832,5.51855245119607,5.08617300007789,5.52982494348865,5.50008004283755,5.29764139928513,5.43849615306956,5.42103296427027,5.68669642169751,5.22472898205976,5.34900102965679,5.75168980055016,5.12987041869725,5.55780786461847,5.47240515569028,5.50292458376154,5.95990475981793,5.7735262729196,5.26197420782457,5.47405480228652,4.08224238275351,5.25989890526526,5.73130021874846,5.98264990851992,5.45352618209874,5.18932141779113,4.9912311132364,4.71993173775631,5.21038129974928,4.29085459470883,4.17531261484834,4.99533200719521,5.41284192136093,5.30227879120935,5.21228324336074,5.45699561127147,5.91531172460452,5.74507315154222,4.61246387374325,5.57120056699249,5.57798453091078,4.90875717039492,4.98806461458467,5.33166141777479,5.2621553491605,5.45848459336815,5.23059474454455,4.82476779128303,5.01952563053962,5.64766482055469,5.28817729766769,5.43889396962672,5.8717398681897,5.88136045643481,5.23214949613855,5.35630439756093,4.62702995780392,5.21132746993585,4.58384912883055,5.26069179030368,5.19048286219241,5.25814808562179,5.24520971360578,5.45278333281921,5.38283785904384,5.63705317402424,5.18708978959113,5.40379293735313,5.21456539201239,5.37568750917687,5.30628464408433
HU_017,5.24971624284504,5.30358127754032,5.04643652887512,5.07296722108033,5.65370386160803,4.35067167110384,5.0006468176527,5.57460573214917,4.57204759838893,5.07760624194254,5.0327980360997,4.61200696414044,5.17267634918386,5.62084731862577,4.17362782214319,4.86063079847716,3.79991156014976,5.19338274707415,5.37547508177519,5.07057206910109,5.16231159004373,4.81872639361244,4.52940514195789,4.60952037069107,4.74616612773536,5.2414965666888,4.81718597712874,4.68423276785648,3.62560374885556,5.27654395608693,5.42755730160741,5.13941837544121,5.44503788018243,6.23408656966703,5.191569567372,4.76559079250863,5.00773867153673,5.51844169726138,5.13310666077457,5.11350886998302,6.05554416564513,6.02615996631282,3.57732576176527,5.15149243301915,5.24599309452238,4.47622765326354,5.37500829153168,5.31972403099757,5.55511807812937,5.01402685613101,5.07924250805149,4.75700800751295,4.94776494998535,5.50286051192348,4.42780409315553,4.39817349846936,4.40286397158576,5.46403571948689,5.83649782905315,5.25593197043808,5.04431775879821,4.22603038877246,5.55110172345077,4.86969898892709,4.8125883919512,4.90842968058175,4.61140822936217,5.11043703773928,5.26797736636627,5.45766582023296,5.30974949898155,5.15564440337834,5.22574796647871,5.78333608638744,4.88164985525607,5.30878436533151,5.13595714200755,3.87146300524356,3.87906644991305,5.35838742866293,5.48292529181522,4.87043134052828,5.27972411860904,4.88859194759487,5.28633454218948,5.08564075976409,5.49705363332385,5.14396866794253,5.35918215076552,5.39610437907907,5.82389486369285,5.35376110059221,5.19571013389505,5.02370947980665,5.20827817077042,5.1365782305189
HU_018,5.58700386354562,4.93817311103786,4.95018480655451,4.33127200452013,3.66216350060243,4.83671698062104,5.46572853805398,6.06493541128375,4.82214193705987,5.28053683563069,5.25699610569323,5.3067806800311,5.50192231862944,5.26642220886717,3.38801509232192,4.93536888537384,4.26793586135066,5.42087168184216,5.25282540300929,3.60750846722654,5.40548855553662,4.57813935503094,4.88058243983826,5.27838091526124,6.55312417715703,5.95490566828761,5.44386494481983,5.64586802319029,5.52337162129808,5.53735354762924,5.43050706756965,5.89549457328696,5.64399270079961,5.41381485072334,5.58919859986803,4.57344576101009,5.55690455753417,5.23205792558689,5.49511978614496,5.687963941027,5.15706415316407,6.12444501823104,3.32955291101325,4.93556104105549,5.71505422448388,4.79767805699516,5.35412055202536,5.34994007159434,4.64386052459166,5.11213170429138,5.79020253795765,5.2861236925678,4.22091261709592,5.44415582842724,4.75411248159399,4.65967147543179,4.94816621295971,4.38888972844592,4.85314042489604,5.45090890213478,5.7099181925804,3.85938310798077,5.91136675566423,5.2920978833708,5.69401980621328,5.51932203131395,5.25980452671396,5.61357230863318,5.35872620775383,5.34960434363863,5.28291374454678,5.41499337973247,5.81198177606421,5.62147031094464,5.5429191307718,5.26708508342863,5.92113596659997,3.46306811590617,3.47056858384357,5.41654473859808,5.21489899064117,5.29238626355891,5.17559732784822,5.2248825508319,5.59553064789213,5.28321215433593,5.37633357046324,5.44649215924336,5.43667900608314,5.33273632397052,5.32079927413212,5.42877233142097,5.52947006426595,5.18660243973137,5.27982357832651,4.9630042131569
HU_019,5.59738886878896,5.6077781343535,5.4856670245682,5.24816981488454,5.62316912427297,4.4722126318744,5.76543838813877,5.44896510313454,5.18225544274407,5.31536429931171,5.11414640510745,4.65077792444033,5.43710749401112,5.45088051651027,6.13568310163047,5.42360665261303,4.17330722516814,5.49866655383324,4.79636732113697,5.01142209060944,5.57173017393388,5.2389287973646,5.071791993606,5.61522178360156,5.24888130513632,5.25760983892687,5.58436275626348,5.61156908343896,5.65414003167218,5.61201876659319,5.45750433097425,5.62444630880094,5.49528236615823,5.73003042459327,5.60814969134265,5.34473648305222,5.34217273332557,5.4914677412642,5.43467233353644,5.38065207394587,5.59198464840111,6.6631773808632,4.15912572973154,5.40689423104065,5.14377375232235,5.25800277999058,5.52205676575344,5.43411156519972,6.80120243359288,5.04531735203349,5.18296575547958,5.11955259937764,5.7292900820302,5.42076551151148,5.19291569418546,5.09751639820504,5.12140452455389,5.12302789511584,5.57725786391995,5.43548372411015,5.34182926453282,4.29428815706775,5.51224870919453,5.34541511227374,5.4150108282049,5.35593310929333,5.47014610672551,5.26806475390461,5.32893428439562,5.8065781020751,5.63051370906231,5.31319009369714,5.69197245760477,5.19153253561828,5.69378996565145,5.61608362955138,5.55581632058367,4.16968350943429,4.17696660220125,5.4609829864256,5.47326974902546,5.34613440692249,5.78943937903563,5.42521757726927,5.55443811602729,5.31539952573353,5.41919425062581,5.33055707970619,5.58597861544768,5.53844210055333,5.70407888772188,5.3218909302697,5.57726215079963,5.27227583213444,5.45031143688972,5.50332688772199
HU_020,5.16433987460021,5.18333434410161,5.25163846289242,5.27080878140585,5.58504842134475,4.41439406643979,5.28788402680127,5.23980058833876,4.77506286432726,5.08361990040962,5.26030274736346,4.45420259382407,5.4983764117329,5.45431939597432,3.68309588707897,5.39019620463334,3.92108309565503,5.54105488012903,4.54718901256703,3.62190856445152,5.38078746866296,4.90303559786661,5.23262267485718,5.18965681733515,4.70120842456381,5.10533859814886,4.73055970215341,4.82508044965158,5.26973772074339,5.29688371337879,5.40357096441962,4.54748219695876,5.25024503537707,5.66775734732194,4.87018875915119,5.05547514449692,5.36536937541848,5.48822580390066,4.92049786744552,4.90139733131381,6.22233936189229,6.70185416894063,2.47543073312072,5.12740792582106,4.84424472024892,4.6350210673431,5.09017199717712,5.10696450751291,6.09707219624553,4.74586572850887,5.09901275602227,5.14193149769528,5.60337247138157,5.43262459506769,4.46402908460955,4.1364447405374,3.38102912687581,5.15399788674832,5.44336581000137,5.33185302424514,5.05258732263118,4.22812405968823,5.5805806929317,4.9118869647101,2.08821578060746,5.0775143961191,5.26682649264624,5.45983167915795,5.21855473344002,5.25266162289884,5.37388295432711,5.03940522625291,5.05424829616321,5.61851831802971,4.81315164990732,4.97892964672392,5.10907843052029,3.6383705382068,3.64530150914651,5.31565671372883,5.38574948555854,4.91260481728611,5.17241393492631,4.86647226710598,5.08782003231382,5.09344028698162,5.43018444770385,4.60260549972697,5.39622035506188,5.42078288895702,5.71885581252756,5.79047199820497,5.16146418799874,5.13336427036415,5.28801941827198,4.61711277161799
HU_021,5.67370972304564,4.7767094856959,5.04611681473672,5.01094599263648,5.54575081646752,4.71349226596833,5.38376724313741,5.80481932613374,4.56903087804739,5.20650138403651,5.09989421862291,4.82160137694177,5.6708759243284,5.65013657496394,3.95387275439164,5.21291801036513,4.068719561658,5.47518414533294,4.48896986338525,1.38587792912266,5.42398449617529,4.58060114983163,5.36878300940917,5.27799831420162,5.32336629292649,5.73403440726072,5.28189811669974,4.7971681765493,4.93101521425288,5.59673984461518,5.55417307409433,5.41280669755749,5.68351917223312,5.55873213032177,5.57100827767114,5.46622200801732,5.29668163296249,5.35130666481805,5.18021713049675,5.33221548519101,5.76396386366417,6.57162578912572,2.64694603610379,5.40102564172659,5.54275725661186,4.71108779527024,5.38898858234347,5.44113495424,5.54198450436992,5.00390081853389,5.5304923145198,5.0444287363791,5.05555675586909,5.51286076897984,4.67393445350597,4.35964757066815,4.6461992127477,5.79550171716606,5.46526426137254,5.52360813692532,5.40166149411657,4.16887148098397,5.43245512128618,4.92905512314834,1.96796034730721,5.86704935958693,5.25507161910781,5.17862048024375,5.51928912944379,5.03879233955125,5.45385888691338,5.29347554277455,5.80364076417935,5.61478029874091,5.45399023235319,5.30862483771676,5.44975189756489,3.88837025922661,3.89501426749244,5.51060145867207,5.50955188670585,4.929692103525,5.57116149124147,5.04202119232356,5.48178102550636,5.21730418296952,5.19085668262554,5.28140407169994,5.52060779246946,5.65318618723779,5.66956280193704,5.57581480836156,5.56946702901119,5.32554947486867,5.29357213986585,5.3621869600513
HU_022,5.04609744398019,5.5875651324879,5.70036446981781,5.62086234830748,5.60583574244657,5.03159837890908,5.61703175965015,5.71502182120036,4.83482819260315,5.5001824383818,5.05720766255309,5.72886507887266,5.49519301031045,5.45675134373497,1.66957184869419,6.08886370866197,4.80851620539041,5.53925024211917,5.59162611508612,6.24703293600567,5.35767470293989,6.01845412272865,4.18399204552282,5.3683958691731,5.12270794835518,5.68361762879703,5.30385814490298,5.43016253312281,5.92099670945994,5.92060597216979,5.48499872931414,4.93069418354579,5.10840899226518,4.85843668889495,5.60061675715132,5.18099266185994,5.54617195711337,5.54479760970517,5.50610626526553,5.09767998699872,6.34000503271485,6.41918417965962,6.21621852134519,5.21281730381779,5.10843955345374,4.61293885890145,5.36220084673359,4.60840048976389,4.84475371002689,5.32287067074919,5.52130293984677,5.45702834575074,5.95964616896478,5.47031775115604,2.3804508204155,4.367720844198,4.7648107226289,5.34981950559153,5.74122983724174,5.15676795179632,5.25899082508905,6.45833128912294,5.8764001523579,5.43247464852528,1.89444666357511,5.82711118171054,5.70873027738288,5.52348750232518,5.56613851750814,5.77611373345842,5.31083050150066,5.39758723463711,5.64630862129425,5.35657654699408,4.75130184799532,5.53701168966774,5.63232061129572,6.18228711027833,6.11586051072812,5.40315091982425,5.37716972857428,5.43066886538024,5.98296676322579,5.50738893822198,5.52393381886084,5.31750993275635,5.4789361590136,5.15716118198201,5.11677703102552,5.74272630095361,5.5954879616436,5.705433282254,5.37130581482924,5.45498046419232,5.29024350414728,4.93858458201086
HU_023,5.22611687306462,5.70034473489917,5.69511594496188,4.85435459697658,5.75015505043996,4.34074701051545,5.29649891028547,4.8926110423152,4.62278354926744,5.19593004800396,5.21099569239625,5.06709362004586,5.2540598205135,5.4342296346586,3.21475658303034,4.76430763693585,4.56151527675124,5.39319698241746,5.23121393167789,5.43044128166325,5.29541667152708,5.56613148655964,6.40557042502716,4.90424864175521,5.17120568088013,5.30387928218162,5.80190648315653,5.1729559862571,5.61222938251397,5.68075471373616,5.40897983682486,5.10635475782397,5.32688937077707,6.01547508302865,4.66453429095321,5.3410311860744,5.1272884876166,5.38938527219431,5.01350704847316,5.26591541991211,5.47386205330122,5.90819395407552,4.52767318417676,5.29346745785664,5.02143564999552,4.9465868919147,5.35331298266551,4.78915706843337,5.74272583182389,6.89348017834712,5.38875279765618,5.13932348788519,4.62136120262068,5.40692312338095,4.67419203882927,4.55384546635365,5.56213079604664,4.65348961740647,5.37511362722234,5.32561371346624,5.48980301673118,4.48621883483915,5.46383912153897,5.39231975896146,2.05084897797629,5.4350268085424,5.07137113670114,5.05068429372688,5.26436523889768,5.71097594582301,5.15403278433606,5.2820241166139,5.11334478203672,5.55444370946696,5.04209804184451,5.07838343521923,5.22867592796014,4.6113238486474,4.6176435506437,5.40633104310333,5.47731558364825,5.39450622074852,5.34894294655217,5.42507163875383,5.4681544218951,5.20831789633977,4.98878669947563,5.00431391724678,5.21256414302515,4.96540515835504,5.81228628618658,5.51392801789963,5.30842190560019,5.14742043130538,5.20980880535717,5.22904227983831
